Time,Dieselbrücke,Friedberger Straße östlich Afrabrücke,Friedrich-Ebert-Straße östlich Haltestelle Messe,Färberstraße/Gollwitzerstr.,Gögginger Straße südlich Rosenaustraße,Haunstetter Straße Höhe protestantischer Friedhof,Konrad Adenauer Allee Fahrradstraße,Postillionstraße südl. Roggenstraße,Rosenaustraße westlich Gögginger Straße,"Südlich A8-Unterführung, Ostseite",Ulrichsbrücke,Wagenhalsstraße,
2017-10-03 00:00:00,,,,,,,852,,,,1111,,
2017-10-04 00:00:00,,,,,,,3172,,,,2843,,
2017-10-05 00:00:00,,,,,,,2979,,,,2450,,
2017-10-06 00:00:00,,,,,,,2345,,,,1948,,
2017-10-07 00:00:00,,,,,,,1676,,,,1574,,
2017-10-08 00:00:00,,,,,,,709,,,,757,,
2017-10-09 00:00:00,,,,,,,1955,,,,1756,,
2017-10-10 00:00:00,,,,,,,2907,,,,2309,,
2017-10-11 00:00:00,,,,,,,3330,,,,2516,,
2017-10-12 00:00:00,,,,,,,3339,,,,2482,,
2017-10-13 00:00:00,,,,,,,3374,,,,2716,,
2017-10-14 00:00:00,,,,,,,2230,,,,2060,,
2017-10-15 00:00:00,,,,,,,1430,,,,2135,,
2017-10-16 00:00:00,,,,,,,3635,,,,2923,,
2017-10-17 00:00:00,,,,,,,3716,,,,3037,,
2017-10-18 00:00:00,,,,,,,3627,,,,2906,,
2017-10-19 00:00:00,,,,,,,3738,,,,2815,,
2017-10-20 00:00:00,,,,,,,3389,,,,2601,,
2017-10-21 00:00:00,,,,,,,2065,,,,1801,,
2017-10-22 00:00:00,,,,,,,841,,,,843,,
2017-10-23 00:00:00,,,,,,,2554,,,,1944,,
2017-10-24 00:00:00,,,,,,,3076,,,,2333,,
2017-10-25 00:00:00,,,,,,,3440,,,,2466,,
2017-10-26 00:00:00,,,,,,,3522,,,,2628,,
2017-10-27 00:00:00,,,,,,,2501,,,,1829,,
2017-10-28 00:00:00,,,,,,,1484,,,,1210,,
2017-10-29 00:00:00,,,,,,,413,,,,471,,
2017-10-30 00:00:00,,,,,,,2035,,,,1642,,
2017-10-31 00:00:00,,,,,,,878,,,,855,,
2017-11-01 00:00:00,,,,,,,810,,,,718,,
2017-11-02 00:00:00,,,,,,,2474,,,,2015,,
2017-11-03 00:00:00,,,,,,,2653,,,,1961,,
2017-11-04 00:00:00,,,,,,,1810,,,,1638,,
2017-11-05 00:00:00,,,,,,,625,,,,545,,
2017-11-06 00:00:00,,,,,,,2200,,,,1665,,
2017-11-07 00:00:00,,,,,,,2088,,,,1593,,
2017-11-08 00:00:00,,,,,,,2709,,,,1830,,
2017-11-09 00:00:00,,,,,,,2686,,,,2044,,
2017-11-10 00:00:00,,,,,,,2232,,,,1567,,
2017-11-11 00:00:00,,,,,,,960,,,,846,,
2017-11-12 00:00:00,,,,,,,356,,,,284,,
2017-11-13 00:00:00,,,,,,,1984,,,,1450,,
2017-11-14 00:00:00,,,,,,,2420,,,,1784,,
2017-11-15 00:00:00,,,,,,,2329,,,,1753,,
2017-11-16 00:00:00,,,,,,,2316,,,,1647,,
2017-11-17 00:00:00,,,,,,,2110,,,,1598,,
2017-11-18 00:00:00,,,,,,,1352,,,,1049,,
2017-11-19 00:00:00,,,,,,,549,,,,749,,
2017-11-20 00:00:00,,,,,,,2180,,,,1607,,
2017-11-21 00:00:00,,,,,,,2304,,,,1590,,
2017-11-22 00:00:00,,,,,,,2629,,,,2006,,
2017-11-23 00:00:00,,,,,,,2717,,,,2109,,
2017-11-24 00:00:00,,,,,,,2599,,,,2137,,
2017-11-25 00:00:00,,,,,,,1003,,,,826,,
2017-11-26 00:00:00,,,,,,,586,,,,500,,
2017-11-27 00:00:00,,,,,,,2173,,,,1841,,
2017-11-28 00:00:00,,,,,,,2051,,,,1513,,
2017-11-29 00:00:00,,,,,,,2146,,,,1676,,
2017-11-30 00:00:00,,,,,,,2040,,,,1794,,
2017-12-01 00:00:00,,,,,,,1936,,,,1406,334,
2017-12-02 00:00:00,,,,,,,1247,,,,916,281,
2017-12-03 00:00:00,,,,,,,628,,,,595,142,
2017-12-04 00:00:00,,,,,,,1409,,,,1022,188,
2017-12-05 00:00:00,,,,,,,2097,,,,1541,378,
2017-12-06 00:00:00,,,,,,,2135,,,,1517,419,
2017-12-07 00:00:00,,,,,,,2326,,,,1764,497,
2017-12-08 00:00:00,,,,,,,1357,,,,942,299,
2017-12-09 00:00:00,,,,,,,1118,,,,805,309,
2017-12-10 00:00:00,,,,,,,401,,,,348,99,
2017-12-11 00:00:00,,,,,,,1684,,,,1178,377,
2017-12-12 00:00:00,,,,,,,1954,,,,1392,490,
2017-12-13 00:00:00,,,,,,,2086,,,,1536,664,
2017-12-14 00:00:00,,,,,,,1840,,,,1241,558,
2017-12-15 00:00:00,,,,,,,1962,,,,1446,742,
2017-12-16 00:00:00,,,,,,,1097,,,,791,491,
2017-12-17 00:00:00,,,,,,,549,,,,404,192,
2017-12-18 00:00:00,,,,,,,1889,,,,1233,570,
2017-12-19 00:00:00,,,,,,,2095,,,,1425,722,
2017-12-20 00:00:00,,,,,,,1909,,,,1378,747,
2017-12-21 00:00:00,,,,,,,1775,,,,1329,658,
2017-12-22 00:00:00,,,,,,,1566,,,,986,583,
2017-12-23 00:00:00,,,,,,,1293,,,,998,680,
2017-12-24 00:00:00,,,,,,,439,,,,479,246,
2017-12-25 00:00:00,,,,,,,326,,,,387,116,
2017-12-26 00:00:00,,,,,,,363,,,,436,190,
2017-12-27 00:00:00,,,,,,,900,,,,930,441,
2017-12-28 00:00:00,,,,,,,604,,,,562,191,
2017-12-29 00:00:00,,,,,,,722,,,,719,289,
2017-12-30 00:00:00,,,,,,,471,,,,423,163,
